[0920/165942.203:ERROR:settings.cc(320)] Settings magic is not 1129342067
[0324/222219.880:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0324/222219.881:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.734:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.735:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.735:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.735:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.735:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.735:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.740:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.740:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.740:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.740:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.740:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134924.740:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.145:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.380:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.380:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.380:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.380:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.380:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.381:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.381:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.381:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.381:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1002/134925.381:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
